"ranking","Country","gdppc","pop2022","gdp"
"1","Luxembourg","118001","647.5990",76417329.599
"2","Singapore","97057","5975.6890",579982447.273
"3","Ireland","94392","5023.1090",474141304.728
"4","Qatar","93508","2695.1220",252015467.976
"5","Switzerland","72874","8740.4720",636953156.528
"6","Norway","65800","5434.3190",357578190.2
"7","United States","63416","338289.8570",21452989571.512
"8","Brunei","62371","449.0020",28004703.742
"9","Hong Kong","59520","7488.8650",445737244.8
"10","Denmark","58932","5882.2610",346653405.252
"11","United Arab Emirates","58753","9441.1290",554694652.137
"12","San Marino","58427","33.6600",1966652.82
"13","Netherlands","57534","17564.0140",1010527981.476
"14","Macau","56078","695.1680",38983631.104
"16","Taiwan","55724","23893.3940",1331435487.256
"15","Iceland","55596","372.8990",20731692.804
"17","Austria","55218","8939.6170",493627771.506
"18","Sweden","54146","10549.3470",571204942.662
"19","Germany","54076","83369.8430",4508307630.068
"20","Australia","51680","26177.4130",1352848703.84
"21","Belgium","51096","11655.9300",595571399.28
"22","Finland","49853","5540.7450",276222760.485
"23","Bahrain","48766","1472.2330",71794914.478
"24","Canada","48720","38454.3270",1873494811.44
"25","Saudi Arabia","46811","36408.8200",1704333273.02
"26","France","46062","64626.6280",2976831738.936
"27","South Korea","44621","51815.8100",2312073258.01
"28","United Kingdom","44117","67508.9360",2978291729.512
"29","Malta","42856","533.2860",22854504.816
"30","Japan","42248","123951.6920",5236711083.616
"31","New Zealand","42018","5185.2880",217875431.184
"32","Kuwait","41627","4268.8730",177700376.371
"33","Italy","40861","59037.4740",2412330225.114
"34","Czech Republic","40618","10493.9860",426244723.348
"35","Israel","40547","9038.3090",366476315.023
"36","Cyprus","40107","1251.4880",50193429.216
"38","Slovenia","40067","2119.8440",84935789.548
"39","Spain","39121","47558.6300",1860541164.23
"40","Estonia","38834","1326.0620",51496291.708
"37","Lithuania","38824","2750.0550",106768135.32
"41","Poland","34103","39857.1450",1359248215.935
"42","Portugal","34043","10270.8650",349651057.195
"43","Puerto Rico","34025","3252.4070",110663148.175
"45","Hungary","33030","9967.3080",329220183.24
"46","Slovakia","32709","5643.4530",184591704.177
"47","Latvia","31509","1850.6510",58312162.359
"48","Romania","30526","19659.2670",600118784.442
"49","Turkey","30253","85341.2410",2581828563.973
"50","Oman","30178","4576.2980",138103521.044
"51","Aruba","29090","106.4450",3096485.05
"52","Greece","28748","10384.9710",298547146.308
"53","Russia","27903","144713.3140",4037935600.542
"54","Croatia","27717","4030.3580",111709432.686
"55","Malaysia","27402","33938.2210",929975131.842
"56","Panama","27003","4408.5810",119044912.743
"57","Kazakhstan","26565","19397.9980",515307816.87
"58","Seychelles","25414","107.1180",2722296.852
"59","Trinidad and Tobago","25031","1531.0440",38323562.364
"60","Bulgaria","23817","6781.9530",161525774.601
"61","Chile","23366","19603.7330",458060825.278
"62","Uruguay","22459","3422.7940",76872530.446
"64","Argentina","20751","45510.3180",944384608.818
"65","Mauritius","20292","1299.4690",26368824.948
"66","Belarus","20187","9534.9540",192482116.398
"67","Costa Rica","19990","5180.8290",103564771.71
"68","Guyana","19684","808.7260",15918962.584
"69","Maldives","19609","523.7870",10270939.283
"71","Serbia","19146","7221.3650",138260254.29
"72","Mexico","19130","127504.1250",2439153911.25
"73","Antigua and Barbuda","18618","93.7630",1745679.534
"74","Dominican Republic","18608","11228.8210",208945901.168
"75","Thailand","18236","71697.0300",1307467039.08
"76","Equatorial Guinea","17788","1674.9080",29793263.504
"77","China","17192","1425887.3370",24513855097.704
"78","Botswana","16893","2630.2960",44433590.328
"79","North Macedonia","16712","2093.5990",34988226.488
"80","Turkmenistan","16520","6430.7700",106236320.4
"81","Gabon","15970","2388.9920",38152202.24
"82","Grenada","15431","125.4380",1935633.778
"83","Bosnia and Herzegovina","15047","3233.5260",48654865.722
"84","Georgia","14918","3744.3850",55858735.43
"85","Brazil","14916","215313.4980",3211616136.168
"86","Suriname","14513","618.0400",8969614.52
"87","Azerbaijan","14431","10358.0740",149477365.894
"88","Colombia","14324","51874.0240",743043519.776
"89","Palau","14309","18.0550",258348.995
"90","Albania","14218","2842.3210",40412119.978
"91","Barbados","13553","281.6350",3816999.155
"93","Armenia","13261","2780.4690",36871799.409
"94","Sri Lanka","13214","21832.1430",288489937.602
"95","Ukraine","13110","39701.7390",520489798.29
"96","Iran","13073","88550.5700",1157621601.61
"97","Paraguay","12881","6780.7440",87342763.464
"98","Moldova","12811","3272.9960",41930351.756
"99","Egypt","12790","110990.1030",1419563417.37
"101","Indonesia","12222","275501.3390",3367177365.258
"102","Bhutan","12060","782.4550",9436407.3
"103","South Africa","12032","59893.8850",720643224.32
"104","Peru","11871","34049.5880",404202659.148
"105","Mongolia","11825","3398.3660",40185677.95
"106","Fiji","11567","929.7660",10754603.322
"107","Lebanon","11564","5489.7390",63483341.796
"109","Algeria","11112","44903.2250",498964636.2
"110","Dominica","11072","72.7370",805344.064
"111","Ecuador","11009","18001",198173009
"112","Vietnam","10869","98186.8560",1067192937.864
"113","Jordan","10306","11285.8690",116312165.914
"114","Tunisia","10120","12356.1170",125043904.04
"115","Iraq","10003","44496.1220",445094708.366
"116","Jamaica","9975","2827.3770",28203085.575
"117","Nauru","9856","12.6680",124855.808
"118","Namibia","9396","2567.0120",24119644.752
"119","Eswatini","8957","1201.6700",10763358.19
"120","Philippines","8452","115559.0090",976704744.068
"121","El Salvador","8422","6336.3920",53365093.424
"122","Bolivia","8344","12224.1100",101997973.84
"123","Guatemala","8293","17843.9080",147979529.044
"124","Laos","8111","7529.4750",61071571.725
"125","Morocco","7620","37457.9710",285429739.02
"126","Uzbekistan","7449","34627.6520",257941379.748
"127","Angola","6932","35588.9870",246702857.884
"128","India","6461","1417173.1730",9156355870.753
"130","Tonga","6191","106.8580",661557.878
"131","Belize","6046","405.2720",2450274.512
"132","Libya","5893","6812.3410",40145125.513
"133","Mauritania","5834","4736.1390",27630634.926
"134","Ghana","5693","33475.8700",190578127.91
"135","Samoa","5653","222.3820",1257125.446
"136","Nicaragua","5575","6948.3920",38737285.4
"137","Honduras","5450","10432.8600",56859087
"139","Ivory Coast","5365","28160.5420",151081307.83
"140","Bangladesh","5307","171186.3720",908486076.204
"141","Myanmar","5242","54179.3060",284007922.052
"142","Nigeria","5187","218541.2120",1133573266.644
"143","Venezuela","5178","28301.6960",146546181.888
"144","Pakistan","5150","235824.8620",1214498039.3
"145","Djibouti","5096","1120.8490",5711846.504
"146","Kyrgyzstan","5036","6630.6230",33391817.428
"147","Kenya","4926","54027.4870",266139400.962
"148","Cambodia","4695","16767.8420",78725018.19
"149","Tuvalu","4497","11.3120",50870.064
"150","Republic of the Congo","4188","5970.4240",25004135.712
"151","Sudan","4098","46874.2040",192090487.992
"152","Nepal","4061","30547.5800",124053722.38
"153","Papua New Guinea","3833","10142.6190",38876658.627
"155","Marshall Islands","3786","41.5690",157380.234
"156","Tajikistan","3676","9952.7870",36586445.012
"157","Cameroon","3646","27914.5360",101776398.256
"158","Senegal","3478","17316.4490",60226609.622
"159","Micronesia","3446","114.1640",393409.144
"160","Benin","3437","13352.8640",45893793.568
"161","Timor-Leste","3382","1341.2960",4536263.072
"162","Zambia","3342","20017.6750",66899069.85
"163","Comoros","3048","836.7740",2550487.152
"164","Haiti","2916","11584.9960",33781848.336
"165","Ethiopia","2908","123379.9240",358788818.992
"166","Tanzania","2821","65497.7480",184769147.108
"167","Lesotho","2718","2305.8250",6267232.35
"168","Zimbabwe","2622","16320.5370",42792448.014
"169","Guinea","2604","13859.3410",36089723.964
"170","Vanuatu","2586","326.7400",844949.64
"171","Uganda","2574","47249.5850",121620431.79
"172","Solomon Islands","2455","724.2730",1778090.215
"173","Mali","2401","22593.5900",54247209.59
"174","Afghanistan","2390","41128.7710",98297762.69
"175","Guinea-Bissau","2348","2105.5660",4943868.968
"176","Rwanda","2337","13776.6980",32196143.226
"177","Gambia","2276","2705.9920",6158837.792
"178","Burkina Faso","2262","22673.7620",51288049.644
"179","Kiribati","2200","131.2320",288710.4
"180","Togo","2199","8848.6990",19458289.101
"181","Yemen","1927","33696.6140",64933375.178
"182","Eritrea","1821","3684.0320",6708622.272
"183","Sierra Leone","1725","8605.7180",14844863.55
"184","Chad","1611","17723.3150",28552260.465
"185","Madagascar","1599","29611.7140",47349130.686
"186","Liberia","1557","5302.6810",8256274.317
"187","Mozambique","1277","32969.5180",42102074.486
"188","Niger","1259","26207.9770",32995843.043
"189","Democratic Republic of the Congo","1106","99010.2120",109505294.472
"190","Malawi","993","20405.3170",20262479.781
"191","Central African Republic","979","5579.1440",5461981.976
"192","Somalia","925","17597.5110",16277697.675
"193","South Sudan","791","10913.1640",8632312.724
"194","Burundi","760","12889.5760",9796077.76
